row|col|sample|dist|memory(bytes)|avgdist|matrixbuildtime(msecs)|sampletime(msecs)
4096|128|10000|0.001|29578428416|1.547600|20.000000|20.000000
4096|128|10000|0.01|29578813440|19.803101|20.000000|30.000000
4096|128|10000|0.1|29578207232|196.336807|20.000000|20.000000
4096|128|10000|0.3|29578297344|551.847290|10.000000|40.000000
4096|128|10000|0.5|29578313728|854.959473|20.000000|30.000000
4096|128|10000|0.7|29578743808|1104.992798|20.000000|20.000000
4096|128|10000|0.9|29579124736|1300.233032|20.000000|30.000000
4096|128|10000|0.1|29578227712|199.869995|20.000000|30.000000
4096|128|100000|0.001|29579030528|1.561250|20.000000|200.000000
4096|128|100000|0.01|29578481664|19.946720|20.000000|250.000000
4096|128|100000|0.1|29579063296|197.743057|20.000000|260.000000
4096|128|100000|0.3|29578567680|553.989868|20.000000|270.000000
4096|128|100000|0.5|29578956800|853.991028|20.000000|270.000000
4096|128|100000|0.7|29578121216|1099.567871|20.000000|260.000000
4096|128|100000|0.9|29578911744|1290.494263|20.000000|260.000000
4096|128|100000|0.1|29578321920|198.023834|20.000000|260.000000
4096|128|1000000|0.001|29578539008|1.560674|20.000000|2000.000000
4096|128|1000000|0.01|29578973184|19.916361|30.000000|2550.000000
4096|128|1000000|0.1|29578846208|197.638138|20.000000|2680.000000
4096|128|1000000|0.3|29578412032|552.480103|20.000000|2630.000000
4096|128|1000000|0.5|29578330112|852.234558|20.000000|2670.000000
4096|128|1000000|0.7|29578330112|1099.038452|20.000000|2640.000000
4096|128|1000000|0.9|29578203136|1289.441895|20.000000|2640.000000
4096|128|1000000|0.1|29578076160|197.490356|20.000000|2680.000000
4096|512|1000|0.001|29578211328|1.589000|90.000000|0.000000
4096|512|1000|0.01|29578059776|20.174999|90.000000|0.000000
4096|512|1000|0.1|29578027008|199.182007|90.000000|0.000000
4096|512|1000|0.3|29578317824|559.440002|70.000000|10.000000
4096|512|1000|0.5|29578170368|864.544006|80.000000|0.000000
